full_date,date_key,year,quarter,month_number,month_name,week_of_year,day_name,is_weekend,is_payday,month_start
2013-03-10,20130310,2013,Q1,3,March,10,Sunday,1,0,2013-03-01
2013-03-11,20130311,2013,Q1,3,March,11,Monday,0,0,2013-03-01
2013-03-12,20130312,2013,Q1,3,March,11,Tuesday,0,0,2013-03-01
2013-03-13,20130313,2013,Q1,3,March,11,Wednesday,0,0,2013-03-01
2013-03-14,20130314,2013,Q1,3,March,11,Thursday,0,0,2013-03-01
2013-03-15,20130315,2013,Q1,3,March,11,Friday,0,1,2013-03-01
2013-03-16,20130316,2013,Q1,3,March,11,Saturday,1,0,2013-03-01
2013-03-17,20130317,2013,Q1,3,March,11,Sunday,1,0,2013-03-01
2013-03-18,20130318,2013,Q1,3,March,12,Monday,0,0,2013-03-01
2013-03-19,20130319,2013,Q1,3,March,12,Tuesday,0,0,2013-03-01
2013-03-20,20130320,2013,Q1,3,March,12,Wednesday,0,0,2013-03-01
2013-03-21,20130321,2013,Q1,3,March,12,Thursday,0,0,2013-03-01
2013-03-22,20130322,2013,Q1,3,March,12,Friday,0,0,2013-03-01
2013-03-23,20130323,2013,Q1,3,March,12,Saturday,1,0,2013-03-01
2013-03-24,20130324,2013,Q1,3,March,12,Sunday,1,0,2013-03-01
2013-03-25,20130325,2013,Q1,3,March,13,Monday,0,0,2013-03-01
2013-03-26,20130326,2013,Q1,3,March,13,Tuesday,0,0,2013-03-01
2013-03-27,20130327,2013,Q1,3,March,13,Wednesday,0,0,2013-03-01
2013-03-28,20130328,2013,Q1,3,March,13,Thursday,0,0,2013-03-01
2013-03-29,20130329,2013,Q1,3,March,13,Friday,0,0,2013-03-01
2013-03-30,20130330,2013,Q1,3,March,13,Saturday,1,0,2013-03-01
2013-03-31,20130331,2013,Q1,3,March,13,Sunday,1,1,2013-03-01
2013-04-01,20130401,2013,Q2,4,April,14,Monday,0,0,2013-04-01
2013-04-02,20130402,2013,Q2,4,April,14,Tuesday,0,0,2013-04-01
2013-04-03,20130403,2013,Q2,4,April,14,Wednesday,0,0,2013-04-01
2013-04-04,20130404,2013,Q2,4,April,14,Thursday,0,0,2013-04-01
2013-04-05,20130405,2013,Q2,4,April,14,Friday,0,0,2013-04-01
2013-04-06,20130406,2013,Q2,4,April,14,Saturday,1,0,2013-04-01
2013-04-07,20130407,2013,Q2,4,April,14,Sunday,1,0,2013-04-01
2013-04-08,20130408,2013,Q2,4,April,15,Monday,0,0,2013-04-01
2013-04-09,20130409,2013,Q2,4,April,15,Tuesday,0,0,2013-04-01
2013-04-10,20130410,2013,Q2,4,April,15,Wednesday,0,0,2013-04-01
2013-04-11,20130411,2013,Q2,4,April,15,Thursday,0,0,2013-04-01
2013-04-12,20130412,2013,Q2,4,April,15,Friday,0,0,2013-04-01
2013-04-13,20130413,2013,Q2,4,April,15,Saturday,1,0,2013-04-01
2013-04-14,20130414,2013,Q2,4,April,15,Sunday,1,0,2013-04-01
2013-04-15,20130415,2013,Q2,4,April,16,Monday,0,1,2013-04-01
2013-04-16,20130416,2013,Q2,4,April,16,Tuesday,0,0,2013-04-01
2013-04-17,20130417,2013,Q2,4,April,16,Wednesday,0,0,2013-04-01
2013-04-18,20130418,2013,Q2,4,April,16,Thursday,0,0,2013-04-01
2013-04-19,20130419,2013,Q2,4,April,16,Friday,0,0,2013-04-01
2013-04-20,20130420,2013,Q2,4,April,16,Saturday,1,0,2013-04-01
2013-04-21,20130421,2013,Q2,4,April,16,Sunday,1,0,2013-04-01
2013-04-22,20130422,2013,Q2,4,April,17,Monday,0,0,2013-04-01
2013-04-23,20130423,2013,Q2,4,April,17,Tuesday,0,0,2013-04-01
2013-04-24,20130424,2013,Q2,4,April,17,Wednesday,0,0,2013-04-01
2013-04-25,20130425,2013,Q2,4,April,17,Thursday,0,0,2013-04-01
2013-04-26,20130426,2013,Q2,4,April,17,Friday,0,0,2013-04-01
2013-04-27,20130427,2013,Q2,4,April,17,Saturday,1,0,2013-04-01
2013-04-28,20130428,2013,Q2,4,April,17,Sunday,1,0,2013-04-01
2013-04-29,20130429,2013,Q2,4,April,18,Monday,0,0,2013-04-01
2013-04-30,20130430,2013,Q2,4,April,18,Tuesday,0,1,2013-04-01
2013-05-01,20130501,2013,Q2,5,May,18,Wednesday,0,0,2013-05-01
2013-05-02,20130502,2013,Q2,5,May,18,Thursday,0,0,2013-05-01
2013-05-03,20130503,2013,Q2,5,May,18,Friday,0,0,2013-05-01
2013-05-04,20130504,2013,Q2,5,May,18,Saturday,1,0,2013-05-01
2013-05-05,20130505,2013,Q2,5,May,18,Sunday,1,0,2013-05-01
2013-05-06,20130506,2013,Q2,5,May,19,Monday,0,0,2013-05-01
2013-05-07,20130507,2013,Q2,5,May,19,Tuesday,0,0,2013-05-01
2013-05-08,20130508,2013,Q2,5,May,19,Wednesday,0,0,2013-05-01
2013-05-09,20130509,2013,Q2,5,May,19,Thursday,0,0,2013-05-01
2013-05-10,20130510,2013,Q2,5,May,19,Friday,0,0,2013-05-01
2013-05-11,20130511,2013,Q2,5,May,19,Saturday,1,0,2013-05-01
2013-05-12,20130512,2013,Q2,5,May,19,Sunday,1,0,2013-05-01
2013-05-13,20130513,2013,Q2,5,May,20,Monday,0,0,2013-05-01
2013-05-14,20130514,2013,Q2,5,May,20,Tuesday,0,0,2013-05-01
2013-05-15,20130515,2013,Q2,5,May,20,Wednesday,0,1,2013-05-01
2013-05-16,20130516,2013,Q2,5,May,20,Thursday,0,0,2013-05-01
2013-05-17,20130517,2013,Q2,5,May,20,Friday,0,0,2013-05-01
2013-05-18,20130518,2013,Q2,5,May,20,Saturday,1,0,2013-05-01
2013-05-19,20130519,2013,Q2,5,May,20,Sunday,1,0,2013-05-01
2013-05-20,20130520,2013,Q2,5,May,21,Monday,0,0,2013-05-01
2013-05-21,20130521,2013,Q2,5,May,21,Tuesday,0,0,2013-05-01
2013-05-22,20130522,2013,Q2,5,May,21,Wednesday,0,0,2013-05-01
2013-05-23,20130523,2013,Q2,5,May,21,Thursday,0,0,2013-05-01
2013-05-24,20130524,2013,Q2,5,May,21,Friday,0,0,2013-05-01
2013-05-25,20130525,2013,Q2,5,May,21,Saturday,1,0,2013-05-01
2013-05-26,20130526,2013,Q2,5,May,21,Sunday,1,0,2013-05-01
2013-05-27,20130527,2013,Q2,5,May,22,Monday,0,0,2013-05-01
2013-05-28,20130528,2013,Q2,5,May,22,Tuesday,0,0,2013-05-01
2013-05-29,20130529,2013,Q2,5,May,22,Wednesday,0,0,2013-05-01
2013-05-30,20130530,2013,Q2,5,May,22,Thursday,0,0,2013-05-01
2013-05-31,20130531,2013,Q2,5,May,22,Friday,0,1,2013-05-01
2013-06-01,20130601,2013,Q2,6,June,22,Saturday,1,0,2013-06-01
2013-06-02,20130602,2013,Q2,6,June,22,Sunday,1,0,2013-06-01
2013-06-03,20130603,2013,Q2,6,June,23,Monday,0,0,2013-06-01
2013-06-04,20130604,2013,Q2,6,June,23,Tuesday,0,0,2013-06-01
2013-06-05,20130605,2013,Q2,6,June,23,Wednesday,0,0,2013-06-01
2013-06-06,20130606,2013,Q2,6,June,23,Thursday,0,0,2013-06-01
2013-06-07,20130607,2013,Q2,6,June,23,Friday,0,0,2013-06-01
2013-06-08,20130608,2013,Q2,6,June,23,Saturday,1,0,2013-06-01
2013-06-09,20130609,2013,Q2,6,June,23,Sunday,1,0,2013-06-01
2013-06-10,20130610,2013,Q2,6,June,24,Monday,0,0,2013-06-01
2013-06-11,20130611,2013,Q2,6,June,24,Tuesday,0,0,2013-06-01
2013-06-12,20130612,2013,Q2,6,June,24,Wednesday,0,0,2013-06-01
2013-06-13,20130613,2013,Q2,6,June,24,Thursday,0,0,2013-06-01
2013-06-14,20130614,2013,Q2,6,June,24,Friday,0,0,2013-06-01
2013-06-15,20130615,2013,Q2,6,June,24,Saturday,1,1,2013-06-01
2013-06-16,20130616,2013,Q2,6,June,24,Sunday,1,0,2013-06-01
2013-06-17,20130617,2013,Q2,6,June,25,Monday,0,0,2013-06-01
2013-06-18,20130618,2013,Q2,6,June,25,Tuesday,0,0,2013-06-01
2013-06-19,20130619,2013,Q2,6,June,25,Wednesday,0,0,2013-06-01
2013-06-20,20130620,2013,Q2,6,June,25,Thursday,0,0,2013-06-01
2013-06-21,20130621,2013,Q2,6,June,25,Friday,0,0,2013-06-01
2013-06-22,20130622,2013,Q2,6,June,25,Saturday,1,0,2013-06-01
2013-06-23,20130623,2013,Q2,6,June,25,Sunday,1,0,2013-06-01
2013-06-24,20130624,2013,Q2,6,June,26,Monday,0,0,2013-06-01
2013-06-25,20130625,2013,Q2,6,June,26,Tuesday,0,0,2013-06-01
2013-06-26,20130626,2013,Q2,6,June,26,Wednesday,0,0,2013-06-01
2013-06-27,20130627,2013,Q2,6,June,26,Thursday,0,0,2013-06-01
2013-06-28,20130628,2013,Q2,6,June,26,Friday,0,0,2013-06-01
2013-06-29,20130629,2013,Q2,6,June,26,Saturday,1,0,2013-06-01
2013-06-30,20130630,2013,Q2,6,June,26,Sunday,1,1,2013-06-01
2013-07-01,20130701,2013,Q3,7,July,27,Monday,0,0,2013-07-01
2013-07-02,20130702,2013,Q3,7,July,27,Tuesday,0,0,2013-07-01
2013-07-03,20130703,2013,Q3,7,July,27,Wednesday,0,0,2013-07-01
2013-07-04,20130704,2013,Q3,7,July,27,Thursday,0,0,2013-07-01
2013-07-05,20130705,2013,Q3,7,July,27,Friday,0,0,2013-07-01
2013-07-06,20130706,2013,Q3,7,July,27,Saturday,1,0,2013-07-01
2013-07-07,20130707,2013,Q3,7,July,27,Sunday,1,0,2013-07-01
2013-07-08,20130708,2013,Q3,7,July,28,Monday,0,0,2013-07-01
2013-07-09,20130709,2013,Q3,7,July,28,Tuesday,0,0,2013-07-01
2013-07-10,20130710,2013,Q3,7,July,28,Wednesday,0,0,2013-07-01
2013-07-11,20130711,2013,Q3,7,July,28,Thursday,0,0,2013-07-01
2013-07-12,20130712,2013,Q3,7,July,28,Friday,0,0,2013-07-01
2013-07-13,20130713,2013,Q3,7,July,28,Saturday,1,0,2013-07-01
2013-07-14,20130714,2013,Q3,7,July,28,Sunday,1,0,2013-07-01
2013-07-15,20130715,2013,Q3,7,July,29,Monday,0,1,2013-07-01
2013-07-16,20130716,2013,Q3,7,July,29,Tuesday,0,0,2013-07-01
2013-07-17,20130717,2013,Q3,7,July,29,Wednesday,0,0,2013-07-01
2013-07-18,20130718,2013,Q3,7,July,29,Thursday,0,0,2013-07-01
